,Model,Accuracy,Recall,Prec.,F1,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.9838,0.9838,0.9844,0.9836,4.15
et,Extra Trees Classifier,0.9786,0.9786,0.9796,0.9783,1.136
xgboost,Extreme Gradient Boosting,0.977,0.977,0.978,0.9769,6.632
rf,Random Forest Classifier,0.9721,0.9721,0.9733,0.972,1.495
dt,Decision Tree Classifier,0.94,0.94,0.9418,0.9395,0.874
knn,K Neighbors Classifier,0.909,0.909,0.913,0.9074,0.774
lr,Logistic Regression,0.8647,0.8647,0.8688,0.8609,2.454
nb,Naive Bayes,0.7675,0.7675,0.7733,0.7275,0.815
lda,Linear Discriminant Analysis,0.7406,0.7406,0.7591,0.7334,0.942
ridge,Ridge Classifier,0.6873,0.6873,0.7071,0.6595,0.823
svm,SVM - Linear Kernel,0.6003,0.6003,0.6318,0.5571,1.079
qda,Quadratic Discriminant Analysis,0.5332,0.5332,0.6919,0.5274,0.863
ada,Ada Boost Classifier,0.1859,0.1859,0.1346,0.1219,1.279
